id,joint,life1_id,life1_name,life1_sex,life1_risk,life1_smoke,life1_birthday,life2_id,life2_name,life2_sex,life2_risk,life2_smoke,life2_birthday,face,issue_date
1,false,2415,Stacie Labes,M,Standard,false,1948-09-16,,,,,,,4.25e6,1999-12-03
2,false,602,Devi Breffitt,F,Preferred,true,1960-12-18,,,,,,,3.8e6,2005-11-15
3,false,2197,Mollee Gundry,M,Standard,true,1969-12-04,,,,,,,1.9e6,2019-11-23
4,false,3507,Ninette Ouchterlony,M,Preferred,true,1957-09-20,,,,,,,3.1e6,2005-06-28
5,true,1003,Henriette Oels,M,Preferred,false,1979-04-11,1004,Kathrine Oels,F,Standard,false,1971-09-07,4.9e6,2023-01-03
6,false,2001,Flor Piggrem,M,Preferred,false,1967-02-19,,,,,,,100000.0,2022-08-21
7,true,1415,Raye Filpo,M,Standard,true,1987-07-22,1416,Dody Filpo,F,Standard,true,1982-11-26,3.25e6,2032-04-24
8,false,1514,Amberly Gutherson,F,Preferred,true,1998-02-22,,,,,,,2.6e6,2046-11-13
9,false,573,Deirdre Gaiger,M,Standard,true,1999-12-26,,,,,,,4.0e6,2052-07-03
10,false,852,Christyna Shrigley,F,Standard,false,1969-03-13,,,,,,,4.6e6,1998-01-25
11,false,3693,Helge Pidgen,M,Preferred,true,1921-03-09,,,,,,,3.75e6,1976-08-06
12,false,2843,Sara-ann Dunderdale,M,Standard,true,1987-03-23,,,,,,,2.2e6,2038-08-19
13,false,2254,Dianemarie Harral,F,Standard,false,1951-05-04,,,,,,,850000.0,2008-06-17
14,false,1122,Nike Donkersley,F,Preferred,false,1969-04-21,,,,,,,3.3e6,2025-09-16
15,false,278,Kelcie Williams,F,Preferred,true,1943-09-04,,,,,,,2.85e6,1968-09-07
16,false,3357,Rafa Hiers,M,Preferred,true,1981-01-01,,,,,,,1.15e6,2037-07-26
17,false,3558,Dionis Stickles,F,Preferred,false,1935-12-26,,,,,,,4.75e6,1982-06-25
18,false,1250,Astrid Chesters,F,Standard,false,1940-05-05,,,,,,,4.1e6,1989-09-10
19,true,1154,Erminie Troppmann,F,Standard,false,1926-01-16,1153,Iona Troppmann,M,Preferred,true,1927-12-22,2.55e6,1982-05-25
20,true,14,Ingaborg Dmiterko,F,Standard,true,1974-10-22,13,Cathrine Dmiterko,M,Preferred,false,1976-08-03,300000.0,2009-08-12
21,false,760,Ginnifer Ugolotti,F,Standard,false,1985-09-14,,,,,,,3.8e6,2025-11-08
22,false,981,Chloris O' Loughran,M,Standard,false,1928-10-09,,,,,,,1.65e6,1979-02-13
23,false,3622,Celie Donnell,F,Standard,true,1927-08-14,,,,,,,1.75e6,1969-06-11
24,true,1534,Modesty Whitland,F,Standard,false,1927-07-19,1533,Aprilette Whitland,M,Preferred,true,1923-06-28,950000.0,1969-11-11
25,true,3415,Ashley Looney,M,Preferred,false,1962-12-31,3416,Elga Looney,F,Standard,true,1955-08-23,2.75e6,1995-01-06
26,false,2405,Austin Andren,M,Preferred,true,1930-01-20,,,,,,,1.2e6,1969-09-14
27,false,301,Pearline Boundley,M,Standard,true,1997-06-19,,,,,,,3.6e6,2050-10-20
28,false,1062,Aarika Neesam,F,Preferred,false,1998-08-28,,,,,,,450000.0,2038-11-21
29,false,2899,Clementina Bernardos,M,Standard,false,1971-07-15,,,,,,,3.4e6,2029-11-03
30,false,3472,Malvina Brushfield,F,Preferred,true,1954-02-08,,,,,,,550000.0,1996-02-02
31,false,2660,Tarra Drinan,F,Preferred,true,1954-03-23,,,,,,,4.0e6,2006-03-21
32,false,3906,Kariotta Biner,F,Standard,true,1931-05-05,,,,,,,4.3e6,1971-11-08
33,true,2070,Sue Gyves,F,Preferred,false,1943-01-26,2069,Kate Gyves,M,Preferred,false,1946-11-11,2.25e6,1995-10-24
34,false,1087,Veronique Brodeur,M,Standard,true,1920-10-12,,,,,,,1.8e6,1953-10-19
35,false,93,Nananne Banisch,M,Standard,false,1994-06-14,,,,,,,700000.0,2037-07-30
36,false,2180,Emlyn Velti,F,Standard,false,2001-04-12,,,,,,,3.0e6,2039-11-26
37,false,1288,Adina Hanne,F,Preferred,true,1945-01-07,,,,,,,2.65e6,2000-01-16
38,false,3867,Colette Hardern,M,Preferred,true,1966-11-23,,,,,,,850000.0,2002-03-10
39,true,3924,Kizzee Malmar,F,Preferred,false,1980-06-12,3923,Tani Malmar,M,Preferred,false,1988-02-15,450000.0,2031-08-04
40,false,760,Ginnifer Ugolotti,F,Standard,false,1985-09-14,,,,,,,4.65e6,2025-10-02
41,false,1344,Danyette Trevaskiss,F,Standard,true,1983-04-26,,,,,,,3.2e6,2020-11-21
42,false,567,Kalli Tutt,M,Standard,false,1959-01-05,,,,,,,1.95e6,2000-02-11
43,true,242,Konstance Claridge,F,Standard,false,1965-10-10,241,Nerty Claridge,M,Preferred,true,1963-08-07,4.05e6,2024-12-20
44,false,1250,Astrid Chesters,F,Standard,false,1940-05-05,,,,,,,1.65e6,1986-10-18
45,false,119,Kirbie O'Hannay,M,Standard,true,1961-10-20,,,,,,,2.35e6,2005-11-23
46,false,3073,Elsbeth Dunston,M,Preferred,true,1992-10-11,,,,,,,3.2e6,2038-03-06
47,false,2004,Louisa Pershouse,F,Standard,false,1978-12-31,,,,,,,800000.0,2023-08-21
48,false,366,Danice Pedersen,F,Standard,true,1967-12-03,,,,,,,4.5e6,2014-11-23
49,false,2919,Aimil Matignon,M,Preferred,false,1931-02-24,,,,,,,2.95e6,1960-12-30
50,false,520,Amber Greenhouse,F,Preferred,false,1936-01-07,,,,,,,500000.0,1985-02-27
51,false,218,Cristabel Ruusa,F,Preferred,true,1952-10-04,,,,,,,4.6e6,2005-10-14
52,false,2229,Henrie Maplethorp,M,Preferred,true,1956-03-21,,,,,,,2.75e6,2015-08-08
53,true,3499,Marylee Drewett,M,Preferred,true,1957-08-17,3500,Valeda Drewett,F,Preferred,true,1952-08-03,4.65e6,2001-12-10
54,false,1312,Starlene Issacson,F,Preferred,false,1990-06-09,,,,,,,1.8e6,2025-06-01
